"Path","From","To","Action"
"C:\Users\haruurara\MyProject\SBOP2\myLib\Debug\myLib.Build.CppClean.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\Debug\SboCli.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\Release\SboCli.vcxproj.FileListAbsolute.txt","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Debug\SboCopy.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.vcxproj.FileListAbsolute.txt","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Debug\SboGrpData.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\rc.command.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\rc.read.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\rc.write.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\unsuccessfulbuild","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.vcxproj.FileListAbsolute.txt","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Debug\SboLaunch.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link-cvtres.read.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link-cvtres.write.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.write.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Debug\SboSockLib.Build.CppClean.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.tlog\unsuccessfulbuild","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.vcxproj.FileListAbsolute.txt","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Debug\SboSoundData.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link-cvtres.read.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link-cvtres.write.1.tlog","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Debug\SboSvr.Build.CppClean.log","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.tlog\unsuccessfulbuild","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.unsuccessfulbuild","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.vcxproj.FileListAbsolute.txt","UTF-8","UTF-8","already-utf8"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Debug\MakeFileList.log","UTF-8","UTF-8","already-utf8"
